number,group,zero_based_index,name_from_exe,vmt_or_probe_va,baseline_status,current_status,implementation_stage,classes,file_types
860,sfx,49,SFX PatchWise,0074db08,missing,missing,baseline_inventory,,
861,sfx,50,SFX IMP,0074e258,missing,missing,baseline_inventory,,
862,sfx,51,SFX DeskSoft,0074e528,missing,missing,baseline_inventory,,
863,sfx,52,SFX InstalitShadow,0074e9d8,partial,partial,baseline_inventory,XLegacyStoreArchive,FT_INSTALIT_SFX
864,sfx,53,SFX InfoZIP,0074ee68,partial,partial,baseline_inventory,XZipSFX;XSFX;XZip,FT_ZIPSFX
865,sfx,54,SFX ZPAK,0074f0a8,missing,missing,baseline_inventory,,
866,sfx,55,SFX Marriage1,0074f998,missing,missing,baseline_inventory,,
867,sfx,56,SFX Marriage2,0074fae0,missing,missing,baseline_inventory,,
868,sfx,57,SFX Install4j,007504f8,missing,missing,baseline_inventory,,
869,sfx,58,SFX CHZ,00574ce8,missing,missing,baseline_inventory,,
870,sfx,59,SFX AIN,00575fa8,missing,missing,baseline_inventory,,
871,sfx,60,SFX Tarma,007510b8,missing,missing,baseline_inventory,,
872,sfx,61,SFX Tarma 3,00751658,missing,missing,baseline_inventory,,
873,sfx,62,SFX AD01,00751bf8,missing,missing,baseline_inventory,,
874,sfx,63,SFX CRC1,00751ee8,missing,missing,baseline_inventory,,
875,sfx,64,SFX SpamFighter,007520f8,missing,missing,baseline_inventory,,
876,sfx,65,SFX CreateInstall,007528e8,implemented_unverified,implemented_unverified,baseline_inventory,XCreateInstall,FT_PE32_CREATEINSTALL
877,sfx,66,SFX aPackage,00753458,missing,missing,baseline_inventory,,
878,sfx,67,SFX EPSF,00753ce8,missing,missing,baseline_inventory,,
879,sfx,68,SFX NSIS,00754298,partial,partial,baseline_inventory,XNSIS,FT_PE32_NSIS
880,sfx,69,SFX IFAH,007553c8,missing,missing,baseline_inventory,,
881,sfx,70,SFX FlashJester,007559b8,missing,missing,baseline_inventory,,
882,sfx,71,SFX ExeAttachment,00755eb8,missing,missing,baseline_inventory,,
883,sfx,72,SFX FreeArc,00595f98,partial,partial,baseline_inventory,XFreeArcSFX;XSFX;XFREEARC,FT_FREEARCSFX
884,sfx,73,SFX Gentee,00756b88,missing,missing,baseline_inventory,,
885,sfx,74,SFX LZHBatch,00757558,missing,missing,baseline_inventory,,
886,sfx,75,SFX EXEPress,00757fe8,missing,missing,baseline_inventory,,
887,sfx,76,SFX SFXBuilder,00758308,missing,missing,baseline_inventory,,
888,sfx,77,SFX InnoSetup,0075c218,partial,partial,baseline_inventory,XInnoSetup,FT_PE32_INNOSETUP
889,sfx,78,SFX ChiefLZ Multiple 2,0059eab8,missing,missing,baseline_inventory,,
890,sfx,79,SFX McAfee 1,0075dd08,missing,missing,baseline_inventory,,
891,sfx,80,SFX McAfee 2,0075e238,missing,missing,baseline_inventory,,
892,sfx,81,SFX Pablo,0075e828,missing,missing,baseline_inventory,,
893,sfx,82,SFX SKY,005abf58,missing,missing,baseline_inventory,,
894,sfx,83,SFX Disk eXPress,005ac8b8,missing,missing,baseline_inventory,,
895,sfx,84,SFX WinZip,0075f3c8,partial,partial,baseline_inventory,XZipSFX;XSFX;XZip,FT_ZIPSFX
896,sfx,85,SFX WinZip,0075f510,partial,partial,baseline_inventory,XZipSFX;XSFX;XZip,FT_ZIPSFX
